FlightKey,ReceiveTime,FlightNo,RegNo,DepAirport,ArrAirport,SOBT,CraftType
2025-08-24_GCR7681_ZLXY_ZGCD,20250824074806,GCR7681,B3100,ZLXY,ZGCD,202508240725,E190
2025-08-24_GCR7681_ZLXY_ZGCD,20250824072803,GCR7681,B3100,ZLXY,ZGCD,202508240725,E190
2025-08-24_GCR7681_ZLXY_ZGCD,20250824043357,GCR7681,B3100,ZLXY,ZGCD,202508240725,E190
2025-08-24_GCR7681_ZLXY_ZGCD,20250824002910,GCR7681,,ZLXY,ZGCD,202508240725,
2025-08-24_GCR7681_ZLXY_ZGCD,20250823183137,GCR7681,,ZLXY,ZGCD,202508240725,
2025-08-24_GCR7681_ZLXY_ZGCD,20250823001154,GCR7681,,ZLXY,ZGCD,202508240725,
2025-08-24_GCR7682_ZGCD_ZLXY,20250824224613,GCR7682,B3100,ZGCD,ZLXY,202508241515,E190
2025-08-24_GCR7682_ZGCD_ZLXY,20250824173154,GCR7682,B3100,ZGCD,ZLXY,202508241515,E190
2025-08-24_GCR7682_ZGCD_ZLXY,20250824171214,GCR7682,B3100,ZGCD,ZLXY,202508241515,E190
2025-08-24_GCR7682_ZGCD_ZLXY,20250824170737,GCR7682,B3100,ZGCD,ZLXY,202508241515,E190
2025-08-24_GCR7682_ZGCD_ZLXY,20250824160622,GCR7682,B3100,ZGCD,ZLXY,202508241515,E190
2025-08-24_GCR7682_ZGCD_ZLXY,20250824155358,GCR7682,B3100,ZGCD,ZLXY,202508241515,E190
2025-08-24_GCR7682_ZGCD_ZLXY,20250824153527,GCR7682,B3100,ZGCD,ZLXY,202508241515,E190
2025-08-24_GCR7682_ZGCD_ZLXY,20250824123354,GCR7682,B3100,ZGCD,ZLXY,202508241515,E190
2025-08-24_GCR7682_ZGCD_ZLXY,20250824003311,GCR7682,,ZGCD,ZLXY,202508241515,
2025-08-24_GCR7682_ZGCD_ZLXY,20250823183557,GCR7682,,ZGCD,ZLXY,202508241515,
2025-08-24_GCR7682_ZGCD_ZLXY,20250823001627,GCR7682,,ZGCD,ZLXY,202508241515,
2025-08-24_GCR7683_ZLXY_ZGKL,20250824220756,GCR7683,B9963,ZLXY,ZGKL,202508241955,A320
